X,CCX3MWT1,CCX3MWT3,CCX3MWT4,CCX3MWT5,CCX3MWT6,CCX3MTG1,CCX3MTG3,CCX3MTG4,CCX3MTG5,CCX3MTG6,CCX6MWT1,CCX6MWT2,CCX6MWT3,CCX6MWT4,CCX6MWT5,CCX6MTG1,CCX6MTG3,CCX6MTG4,CCX6MTG5,CCX6MTG6
ENSMUSG00000025732,7.498459243,7.527479202,7.458105797,7.577570292,7.400345256,7.395578706,7.361134706,7.319560146,7.39054558,7.50957288,7.664348255,7.559194077,7.596663649,7.664221054,7.586189411,7.709019286,7.639815583,7.490860092,7.511682651,7.542606593
ENSMUSG00000025757,13.26477617,13.24066309,13.26982856,13.22923452,13.2853969,13.21073571,13.17725915,13.22255767,13.30803799,13.30086399,13.11975377,13.09734031,13.13852831,13.15190492,13.20381661,12.9297183,13.01719384,12.95656712,12.93015866,12.98081585
ENSMUSG00000025776,7.894842834,7.961820538,7.977444637,7.948371496,8.096590558,8.097444301,7.895015053,7.905036932,7.99049562,8.031762302,7.930040993,7.986302995,7.898520817,7.906132443,7.79833003,7.857916665,7.786817612,7.84567786,7.740756485,7.782829195
ENSMUSG00000025777,12.41469735,12.2807117,12.38191037,12.29598665,12.36427614,12.3800006,12.32181164,12.35264391,12.36774645,12.3528579,12.30122058,12.22615438,12.24982258,12.3079937,12.31643298,12.09885679,12.17433979,12.01529721,12.06688731,12.15449179
ENSMUSG00000025780,10.83525757,10.84328286,10.9618517,10.8951889,10.98138372,10.94509546,10.86894195,10.9190582,10.91730872,10.82571448,10.95462258,10.85442025,10.89675846,10.75453427,10.81367543,11.18299229,11.05533332,11.17641964,11.13666389,11.03462983
ENSMUSG00000025792,8.937412604,9.062198151,8.932428047,9.04274057,8.873089188,8.859893973,8.983470308,8.76011507,8.874905299,8.92069809,9.147501165,8.982158674,9.060005968,9.121289969,9.05919468,9.255705705,9.092312989,9.100766552,9.130092678,9.033283154
ENSMUSG00000025794,11.23534884,11.13270966,11.11974325,11.14518549,11.15264307,11.1119213,11.21379387,11.25528548,11.16269218,11.17587359,11.38422642,11.39241385,11.28746631,11.31745182,11.32093728,11.45796054,11.2490023,11.53215409,11.46784357,11.33795815
ENSMUSG00000025809,11.39511267,11.30269214,11.37193163,11.31272233,11.40452889,11.42091157,11.45474575,11.38672563,11.46102307,11.47131797,11.31617941,11.25663998,11.33526987,11.28975959,11.28103854,11.71706909,11.47623728,11.85297591,11.82407416,11.55640606
ENSMUSG00000025810,9.528431352,9.757924071,9.739410314,9.691300042,9.696714638,9.709698389,9.640850544,9.703613113,9.702959399,9.693384485,9.533672565,9.466175339,9.527707864,9.50462017,9.573712502,9.784809265,9.575334288,9.835379617,9.745224568,9.705908238
ENSMUSG00000025813,11.93034516,11.94721066,11.90050931,11.97487993,11.95260776,11.90914041,11.97809639,11.95775224,12.03085833,12.00724254,11.87826784,11.92005923,11.92306119,11.87571531,11.88201181,11.75960172,11.71851411,11.68001802,11.7368591,11.71999968
ENSMUSG00000025823,10.20551331,10.51725096,10.23016701,10.33698464,10.53199155,10.14123045,10.45439542,10.52786966,10.31591355,10.44582958,10.20722936,10.1636056,10.12341833,10.0934894,10.22181604,10.56096468,10.33472638,10.57770708,10.57290351,10.4841936
ENSMUSG00000025880,10.0835291,10.16918239,10.06015604,10.21174992,10.16094866,10.08845893,10.22277794,10.12349099,10.09095143,10.29988869,10.05851104,9.981389089,10.16818866,10.12047665,10.06413176,10.2937161,10.06061035,10.37481505,10.55275449,10.15395375
ENSMUSG00000025889,12.89431839,12.95051304,12.91027106,12.90622812,12.86064221,12.98988606,12.91746984,12.94860799,12.91294614,12.95817977,12.88112394,12.91525191,12.88063186,12.82001857,12.81601914,12.79185431,12.7763169,12.52960124,12.66662893,12.78799063
ENSMUSG00000025899,11.12281043,11.11394228,11.16203842,11.0929608,11.04416911,11.20628446,11.07370318,11.15304272,11.20132464,11.11164057,10.95529368,11.01632491,10.98806871,10.93663957,11.01074855,10.90897597,10.92087422,10.80311326,10.87602589,10.85986174
ENSMUSG00000025907,12.34142716,12.23829627,12.43179751,12.26681387,12.37430955,12.37764729,12.2850987,12.37942519,12.44148736,12.39409601,12.19327218,12.19904571,12.24773307,12.27251029,12.24874747,12.12416688,12.19594365,12.13734725,12.14392697,12.13794309
